Period,Anzsic,Anzsic_descriptor,Variable2,Units,Data_value,Gas,Variable1
2023.09,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),3158,Carbon dioxide equivalents,Seasonally adjusted
2023.12,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),3125,Carbon dioxide equivalents,Seasonally adjusted
2024.03,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),3097,Carbon dioxide equivalents,Seasonally adjusted
2024.06,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),3007,Carbon dioxide equivalents,Seasonally adjusted
2024.09,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),2966,Carbon dioxide equivalents,Seasonally adjusted
2024.12,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),2973,Carbon dioxide equivalents,Seasonally adjusted
2025.03,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),2971,Carbon dioxide equivalents,Seasonally adjusted
2025.06,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),2952,Carbon dioxide equivalents,Seasonally adjusted
2025.09,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),2946,Carbon dioxide equivalents,Seasonally adjusted
2025.12,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),2933,Carbon dioxide equivalents,Seasonally adjusted
2010.03,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),559,Carbon dioxide equivalents,Seasonally adjusted
2010.06,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),585,Carbon dioxide equivalents,Seasonally adjusted
2010.09,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),668,Carbon dioxide equivalents,Seasonally adjusted
2010.12,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),699,Carbon dioxide equivalents,Seasonally adjusted
2011.03,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),667,Carbon dioxide equivalents,Seasonally adjusted
2011.06,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),723,Carbon dioxide equivalents,Seasonally adjusted
2011.09,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),707,Carbon dioxide equivalents,Seasonally adjusted
2011.12,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),670,Carbon dioxide equivalents,Seasonally adjusted
2012.03,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),611,Carbon dioxide equivalents,Seasonally adjusted
2012.06,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),583,Carbon dioxide equivalents,Seasonally adjusted
2012.09,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),570,Carbon dioxide equivalents,Seasonally adjusted
2012.12,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),513,Carbon dioxide equivalents,Seasonally adjusted
2013.03,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),484,Carbon dioxide equivalents,Seasonally adjusted
2013.06,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),494,Carbon dioxide equivalents,Seasonally adjusted
2013.09,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),448,Carbon dioxide equivalents,Seasonally adjusted
2013.12,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),453,Carbon dioxide equivalents,Seasonally adjusted
2014.03,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),425,Carbon dioxide equivalents,Seasonally adjusted
2014.06,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),424,Carbon dioxide equivalents,Seasonally adjusted
2014.09,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),443,Carbon dioxide equivalents,Seasonally adjusted
2014.12,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),401,Carbon dioxide equivalents,Seasonally adjusted
2015.03,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),430,Carbon dioxide equivalents,Seasonally adjusted
2015.06,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),484,Carbon dioxide equivalents,Seasonally adjusted
2015.09,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),531,Carbon dioxide equivalents,Seasonally adjusted
2015.12,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),516,Carbon dioxide equivalents,Seasonally adjusted
2016.03,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),504,Carbon dioxide equivalents,Seasonally adjusted
2016.06,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),467,Carbon dioxide equivalents,Seasonally adjusted
2016.09,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),505,Carbon dioxide equivalents,Seasonally adjusted
2016.12,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),445,Carbon dioxide equivalents,Seasonally adjusted
2017.03,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),437,Carbon dioxide equivalents,Seasonally adjusted
2017.06,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),469,Carbon dioxide equivalents,Seasonally adjusted
2017.09,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),482,Carbon dioxide equivalents,Seasonally adjusted
2017.12,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),478,Carbon dioxide equivalents,Seasonally adjusted
2018.03,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),468,Carbon dioxide equivalents,Seasonally adjusted
2018.06,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),501,Carbon dioxide equivalents,Seasonally adjusted
2018.09,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),457,Carbon dioxide equivalents,Seasonally adjusted
2018.12,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),447,Carbon dioxide equivalents,Seasonally adjusted
2019.03,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),456,Carbon dioxide equivalents,Seasonally adjusted
2019.06,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),493,Carbon dioxide equivalents,Seasonally adjusted
2019.09,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),487,Carbon dioxide equivalents,Seasonally adjusted
2019.12,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),477,Carbon dioxide equivalents,Seasonally adjusted
2020.03,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),443,Carbon dioxide equivalents,Seasonally adjusted
2020.06,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),485,Carbon dioxide equivalents,Seasonally adjusted
2020.09,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),452,Carbon dioxide equivalents,Seasonally adjusted
2020.12,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),433,Carbon dioxide equivalents,Seasonally adjusted
2021.03,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),466,Carbon dioxide equivalents,Seasonally adjusted
2021.06,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),472,Carbon dioxide equivalents,Seasonally adjusted
2021.09,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),511,Carbon dioxide equivalents,Seasonally adjusted
2021.12,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),468,Carbon dioxide equivalents,Seasonally adjusted
2022.03,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),563,Carbon dioxide equivalents,Seasonally adjusted
2022.06,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),626,Carbon dioxide equivalents,Seasonally adjusted
2022.09,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),593,Carbon dioxide equivalents,Seasonally adjusted
2022.12,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),588,Carbon dioxide equivalents,Seasonally adjusted
2023.03,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),506,Carbon dioxide equivalents,Seasonally adjusted
2023.06,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),487,Carbon dioxide equivalents,Seasonally adjusted
2023.09,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),465,Carbon dioxide equivalents,Seasonally adjusted
2023.12,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),519,Carbon dioxide equivalents,Seasonally adjusted
2024.03,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),508,Carbon dioxide equivalents,Seasonally adjusted
2024.06,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),516,Carbon dioxide equivalents,Seasonally adjusted
2024.09,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),556,Carbon dioxide equivalents,Seasonally adjusted
2024.12,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),500,Carbon dioxide equivalents,Seasonally adjusted
2025.03,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),494,Carbon dioxide equivalents,Seasonally adjusted
2025.06,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),487,Carbon dioxide equivalents,Seasonally adjusted
2025.09,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),503,Carbon dioxide equivalents,Seasonally adjusted
2025.12,BB1,Mining,Emissions intensity,Tonnes per $1million value added (constant prices),445,Carbon dioxide equivalents,Seasonally adjusted
2010.03,C34,Wood and paper products manufacturing and printing,Emissions intensity,Tonnes per $1million value added (constant prices),212,Carbon dioxide equivalents,Seasonally adjusted
2010.06,C34,Wood and paper products manufacturing and printing,Emissions intensity,Tonnes per $1million value added (constant prices),222,Carbon dioxide equivalents,Seasonally adjusted
2010.09,C34,Wood and paper products manufacturing and printing,Emissions intensity,Tonnes per $1million value added (constant prices),220,Carbon dioxide equivalents,Seasonally adjusted
2010.12,C34,Wood and paper products manufacturing and printing,Emissions intensity,Tonnes per $1million value added (constant prices),218,Carbon dioxide equivalents,Seasonally adjusted
2011.03,C34,Wood and paper products manufacturing and printing,Emissions intensity,Tonnes per $1million value added (constant prices),233,Carbon dioxide equivalents,Seasonally adjusted
2011.06,C34,Wood and paper products manufacturing and printing,Emissions intensity,Tonnes per $1million value added (constant prices),233,Carbon dioxide equivalents,Seasonally adjusted
2011.09,C34,Wood and paper products manufacturing and printing,Emissions intensity,Tonnes per $1million value added (constant prices),224,Carbon dioxide equivalents,Seasonally adjusted
2011.12,C34,Wood and paper products manufacturing and printing,Emissions intensity,Tonnes per $1million value added (constant prices),240,Carbon dioxide equivalents,Seasonally adjusted
2012.03,C34,Wood and paper products manufacturing and printing,Emissions intensity,Tonnes per $1million value added (constant prices),242,Carbon dioxide equivalents,Seasonally adjusted
